mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mcmost1,mcmost2,mcmost3,mcmost4,mcmost5,mcsome1,mcsome2,mcsome3,mcsome4,mcsome5,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,3,1,0,2,NA,NA,NA,NA,NA,1,1,1,1,1,,,,,,,,,,,,,,,,,,
0,2,1,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
3,3,2,1,1,2,2,1,1,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,3,1,0,1,NA,NA,NA,NA,NA,1,2,2,1,2,,,,,,,,,,,,,,,,,,
0,2,2,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,,,,,,,,,,,,,,,,,,
-2,1,2,4,4,1,1,1,1,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
1,2,2,0,2,NA,NA,NA,NA,NA,2,1,1,2,1,,,,,,,,,,,,,,,,,,
-1,-1,1,0,1,NA,NA,NA,NA,NA,1,2,1,1,1,,,,,,,,,,,,,,,,,,
0,-1,2,0,2,NA,NA,NA,NA,NA,1,1,2,1,2,,,,,,,,,,,,,,,,,,
1,2,2,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,2,2,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,2,1,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
1,2,1,0,1,NA,NA,NA,NA,NA,1,2,2,1,1,,,,,,,,,,,,,,,,,,
0,2,1,0,2,2,2,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,3,1,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,2,2,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,2,1,0,1,NA,NA,NA,NA,NA,1,2,2,2,2,,,,,,,,,,,,,,,,,,
0,1,2,0,3,2,2,2,1,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
1,1,2,1,1,2,1,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,2,2,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
2,3,1,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,1,1,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,3,1,0,2,NA,NA,NA,NA,NA,2,2,2,2,2,,,,,,,,,,,,,,,,,,
1,2,1,0,1,2,1,2,1,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
3,-2,1,1,2,1,1,2,1,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
-1,1,2,0,2,NA,NA,NA,NA,NA,1,2,2,1,1,,,,,,,,,,,,,,,,,,
0,3,2,2,3,NA,NA,NA,NA,NA,2,2,2,2,2,,,,,,,,,,,,,,,,,,
0,2,2,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,3,2,0,1,NA,NA,NA,NA,NA,2,2,2,1,1,,,,,,,,,,,,,,,,,,
0,2,1,0,1,2,2,2,1,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
0,2,1,0,1,NA,NA,NA,NA,NA,2,2,2,1,2,,,,,,,,,,,,,,,,,,
0,3,1,0,1,NA,NA,NA,NA,NA,1,1,1,1,1,,,,,,,,,,,,,,,,,,
