,attentioncorrect,pate_01,pate_02
0,,,
1,,,
2,1,4.0,4.0
3,1,5.0,5.0
4,1,4.0,5.0
5,,4.0,3.0
6,1,5.0,5.0
7,,2.0,4.0
8,,,
9,1,4.0,4.0
10,1,4.0,4.0
11,,3.0,4.0
12,1,4.0,5.0
13,1,4.0,4.0
14,1,3.0,5.0
15,,,
16,,,
17,1,5.0,4.0
18,1,3.0,3.0
19,1,4.0,4.0
20,1,3.0,3.0
21,,,
22,,,
23,1,5.0,4.0
24,1,3.0,5.0
25,0,4.0,4.0
26,1,4.0,4.0
27,,5.0,4.0
28,1,5.0,5.0
29,1,2.0,5.0
30,1,4.0,4.0
31,1,4.0,4.0
32,1,4.0,4.0
33,1,3.0,3.0
34,,3.0,4.0
35,1,3.0,4.0
36,1,4.0,4.0
37,,5.0,5.0
38,1,5.0,5.0
39,1,5.0,4.0
40,,3.0,4.0
41,,4.0,3.0
42,,5.0,4.0
43,,3.0,3.0
44,1,4.0,4.0
45,1,4.0,5.0
46,1,4.0,4.0
47,1,3.0,3.0
48,,,
49,,,
50,1,4.0,4.0
51,,4.0,4.0
52,1,4.0,4.0
53,1,5.0,5.0
54,1,5.0,4.0
55,1,4.0,4.0
56,,3.0,3.0
57,1,5.0,4.0
58,0,4.0,4.0
59,,,
60,1,5.0,4.0
61,,3.0,3.0
62,1,4.0,5.0
63,,3.0,4.0
64,1,5.0,5.0
65,1,3.0,3.0
66,1,4.0,4.0
67,1,4.0,5.0
68,1,5.0,5.0
69,1,4.0,3.0
70,,4.0,5.0
71,1,5.0,5.0
72,,4.0,4.0
73,1,5.0,5.0
74,1,3.0,4.0
75,1,3.0,3.0
76,1,3.0,3.0
77,,5.0,5.0
78,,,
79,1,5.0,4.0
80,,3.0,4.0
81,,4.0,4.0
82,,4.0,4.0
83,1,3.0,4.0
84,1,3.0,2.0
85,1,4.0,4.0
86,1,4.0,4.0
87,,4.0,4.0
88,1,4.0,5.0
89,1,4.0,5.0
90,,,
91,1,5.0,5.0
92,,5.0,4.0
93,,4.0,4.0
94,1,4.0,5.0
95,1,4.0,4.0
96,1,5.0,5.0
97,,4.0,4.0
98,1,5.0,5.0
99,1,4.0,3.0
100,1,4.0,4.0
101,1,4.0,5.0
102,0,2.0,2.0
103,0,3.0,3.0
104,1,4.0,5.0
105,1,3.0,3.0
106,1,4.0,4.0
107,,3.0,3.0
108,1,5.0,5.0
109,1,4.0,3.0
110,,4.0,4.0
111,1,3.0,3.0
112,1,4.0,4.0
113,,3.0,4.0
114,,3.0,4.0
115,,4.0,4.0
116,1,4.0,4.0
117,,3.0,4.0
118,1,4.0,4.0
119,1,3.0,3.0
120,,,
121,,5.0,4.0
122,1,3.0,3.0
123,1,4.0,3.0
124,1,3.0,4.0
125,1,4.0,4.0
126,,,
127,1,3.0,4.0
128,1,3.0,4.0
