,age,anagrams1,anagrams2,anagrams3,anagrams4,backcount1,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,backcount10,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,gender,highpower,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04
0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,5,4,4,3,1,1,1,1,1,1,1,1,1,1,5.0,3.0,6.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,7.0,7.0,7.0,6.0,6.0,1,"[-0.04716495 -0.03328615  0.01918364 -0.13664764 -0.03426261  0.00932719
  0.00728033  0.03642771  0.07769404 -0.03451489]",3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0
3,18,5,,,,1,1,1,1,1,1,1,1,1,1,3.0,5.0,7.0,7.0,2.0,7.0,2.0,1.0,1.0,7.0,9.0,9.0,9.0,9.0,9.0,1,"[-0.0696717  -0.01373935 -0.0034116  -0.11237392 -0.00445038  0.01931204
 -0.00455961  0.09004562  0.03211483 -0.02767685]",1.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,5.0
4,18,,,,,1,0,1,1,0,0,0,0,0,0,7.0,6.0,7.0,5.0,7.0,3.0,7.0,1.0,7.0,2.0,9.0,9.0,9.0,9.0,7.0,1,"[-0.01882851 -0.03188206 -0.0139614  -0.10010414  0.00072402  0.00412929
 -0.00120984  0.01017708 -0.00359816 -0.00557024]",2.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,7.0,1.0,5.0,5.0,3.0
5,24,5,,,,1,1,1,1,1,1,1,1,1,1,7.0,4.0,5.0,5.0,5.0,1.0,7.0,3.0,5.0,2.0,5.0,6.0,5.0,5.0,5.0,1,"[-0.07504974 -0.02340265 -0.00496748 -0.14014159  0.00363824  0.03077821
 -0.1037366  -0.00260644  0.03434537 -0.05338039]",2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,4.0
6,18,,,,,1,1,1,1,1,1,1,1,1,1,5.0,5.0,7.0,3.0,6.0,5.0,7.0,2.0,5.0,3.0,5.0,3.0,6.0,3.0,4.0,1,,3.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,1.0,1.0,2.0,5.0,3.0,4.0,4.0,2.0
7,19,2,3,1,1,1,1,1,1,1,1,1,1,1,1,6.0,5.0,3.0,2.0,6.0,5.0,2.0,3.0,6.0,5.0,7.0,8.0,5.0,4.0,4.0,2,"[-0.03073169  0.02496675 -0.01160233 -0.09128889  0.02599112  0.0366587
  0.00522366 -0.0311317  -0.20857019 -0.20262755]",2.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,3.0,5.0,4.0,3.0,4.0,3.0
8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18,,,,,1,1,1,1,1,1,1,1,1,1,3.0,4.0,5.0,6.0,3.0,5.0,2.0,1.0,4.0,5.0,6.0,7.0,5.0,6.0,7.0,1,,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,6.0,6.0,4.0,1.0,2.0,5.0,4.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,4.0
10,19,5,,,,1,1,1,1,1,1,1,1,1,1,3.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,6.0,4.0,7.0,7.0,8.0,7.0,8.0,2,"[-0.08490222  0.0368355   0.05746596 -0.04360882  0.02658827 -0.01684592
  0.00848631  0.02466082  0.05523901 -0.03652187]",2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,3.0,3.0
11,18,5,4,4,4,1,1,1,1,1,1,1,1,1,1,6.0,5.0,5.0,2.0,5.0,3.0,6.0,3.0,4.0,2.0,7.0,8.0,7.0,6.0,6.0,1,,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0
12,20,4,3,4,2,1,1,1,1,1,0,1,1,1,1,7.0,3.0,7.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,6.0,3.0,1.0,4.0,5.0,1,,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,1.0,2.0,5.0,3.0,3.0,4.0,4.0
13,21,5,,,,,1,1,1,1,1,1,1,1,1,4.0,3.0,6.0,4.0,7.0,2.0,7.0,3.0,7.0,4.0,6.0,6.0,5.0,6.0,5.0,1,"[-0.04148488  0.02867764  0.00736412 -0.07077202  0.00142088  0.0118181
 -0.02674     0.03779307  0.05066615 -0.01145963]",2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,3.0
14,18,5,,,,1,1,1,1,1,1,1,1,1,1,4.0,1.0,6.0,1.0,7.0,5.0,6.0,1.0,7.0,4.0,7.0,6.0,7.0,8.0,6.0,1,"[-0.04984647  0.05838952 -0.01407615 -0.03870027  0.00609364  0.01540113
 -0.06056734  0.02648929  0.01278741  0.00469295]",1.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,2.0,5.0,4.0,2.0
15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,19,,,,,1,1,1,1,1,1,1,1,1,1,7.0,5.0,6.0,6.0,6.0,2.0,6.0,1.0,4.0,4.0,6.0,6.0,5.0,7.0,5.0,1,"[-0.09426867  0.02322308 -0.02788009 -0.14522156  0.03197906  0.00310242
  0.03048767  0.05669001  0.01320062 -0.03916191]",2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,4.0
18,18,5,,,,1,1,1,1,1,1,1,1,1,1,6.0,6.0,6.0,5.0,6.0,5.0,6.0,2.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,1,"[-0.06722795  0.0084821  -0.0262277  -0.12396242 -0.00912455  0.01690966
 -0.03146094  0.06679209  0.02863766 -0.04903036]",3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,5.0,4.0,4.0,4.0,4.0
19,18,5,,,,1,1,1,1,1,1,1,1,1,1,5.0,5.0,7.0,4.0,5.0,6.0,7.0,1.0,7.0,1.0,9.0,7.0,7.0,4.0,7.0,1,,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0
20,18,5,4,4,,1,1,1,1,1,1,1,1,1,1,6.0,3.0,7.0,2.0,6.0,5.0,6.0,2.0,7.0,2.0,8.0,8.0,9.0,9.0,9.0,2,"[-0.03298024 -0.05855792 -0.02056435 -0.15440703  0.01780768  0.04244457
 -0.03906271  0.02745949 -0.01233017 -0.08215048]",2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,6.0,2.0,5.0,4.0,2.0
21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18,5,4,2,2,1,1,1,1,1,1,1,1,1,1,6.0,2.0,7.0,5.0,7.0,5.0,6.0,3.0,5.0,2.0,9.0,9.0,8.0,7.0,8.0,1,"[-0.04074684  0.01424912 -0.01587963 -0.11485062  0.01623579  0.01313695
 -0.01949083  0.01685917  0.01512205 -0.02672748]",4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,5.0,4.0,1.0,1.0,3.0,6.0,2.0,4.0,4.0,2.0
