,age,anagrams1,anagrams2,anagrams3,anagrams4,backcount1,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,backcount10,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,gender,highpower,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,party,flata,coine,caleo,357,330.0,354,351,348,345,342,339,336.0,333.0,5.0,3.0,6.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,7.0,7.0,7.0,6.0,6.0,1,I was in power on my high school track team my senior year. I had the power to push my fellow teammates and make sure that they were working hard and doing what they were supposed to be. I liked the feeling of that but sometimes I felt a little mean and didn't like having to yell at a teammate for not doing what they were supposed to be doing.,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0
3,18,party,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,3.0,5.0,7.0,7.0,2.0,7.0,2.0,1.0,1.0,7.0,9.0,9.0,9.0,9.0,9.0,1,"I was in the position of power when my dog wanted a treat, but did not want to do a trick for it. I had the power to not give my dog what she wanted until she did what I wanted (high-five, roll over, shake, etc.). My dog knows where the treats are located and just kept pawing at the door. I wasn't frustrated that my dog didn't do what I wanted her to, I thought it was funny. It was funny because I was in control and she was practically begging for a treat, instead of just doing a trick. Doing a trick would have been quick and easy, but instead she wanted to waste all this energy whining and pawing at the door. It feels good to have a sense of power, but I wouldn't want to be in control all the time. I wouldn't want people (or my dog in this case) to be dependent on me. My dog was dependent on me for a treat, since she can't open the door and get it herself. Eventually, I felt bad because I felt like I was teasing my dog and torturing her by not giving her her favorite snack, so I gave in and gave her a couple milk bones. She's too dang cute, with those puppy dog eyes!!",1.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,5.0
4,18,,,,,357,130.0,354,351,248,245,242,139,136.0,133.0,7.0,6.0,7.0,5.0,7.0,3.0,7.0,1.0,7.0,2.0,9.0,9.0,9.0,9.0,7.0,1,I recall a time around my junior year that I got two people together. My friend Zack wanted a girl named Taylor as his girlfriend. He wanted to be with her but he did not want to risk losing the friendship. So I decided to talk to Taylor on how she felt about the situation and she did not want to lose him as a friend either. I ended up getting them to go on a double date with me to see if anything was easier. It got a little easier as the week went on. Then I told my friend Zack he needed to ask her out already and just see how being boyfriend and girlfriend would feel. I said if you never try you will never know how you guys truly feel. In the end they dated for about 2 years and were the perfect couple. All because my friend listened to my advice on what to do.,2.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,7.0,1.0,5.0,5.0,3.0
5,18,party,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,7.0,4.0,5.0,5.0,5.0,1.0,7.0,3.0,5.0,2.0,5.0,6.0,5.0,5.0,5.0,1,"when I was working in a nursing home and we were short staffed, other staff members came to me looking for help. I felt over whelmed at first but later on felt respected enough that they came to me for help.",2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,4.0
6,18,,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,5.0,5.0,7.0,3.0,6.0,5.0,7.0,2.0,5.0,3.0,5.0,3.0,6.0,3.0,4.0,1,,3.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,1.0,1.0,2.0,5.0,3.0,4.0,4.0,2.0
7,24,trap,flat,onec,ace lo,357,330.0,354,351,348,345,342,339,336.0,333.0,6.0,5.0,3.0,2.0,6.0,5.0,2.0,3.0,6.0,5.0,7.0,8.0,5.0,4.0,4.0,2,I feel good when I help any one to get what he/she want.,2.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,3.0,5.0,4.0,3.0,4.0,3.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18,,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,3.0,4.0,5.0,6.0,3.0,5.0,2.0,1.0,4.0,5.0,6.0,7.0,5.0,6.0,7.0,1,,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,6.0,6.0,4.0,1.0,2.0,5.0,4.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,4.0
